server_id,server_name,server_category,server_num
0007f352-7249-45f2-a8fa-3e9e68211472,Finance World Corner,"[1, 12, 13]",0
002468de-aae1-42a0-8e61-1609d8df4269,Finance World Corner,"[8, 12]",1
014f84ea-afd2-482a-974a-51a2aa81c1c2,Art Lounge Corner,[11],2
01ffb523-c74e-430d-bd9d-8f794f2d1eaf,Tech Talks Fans,[4],3
0259a8db-4a52-492a-a0c8-fed4945fd2c8,Art Lounge Fans,"[2, 11]",4
02b5a1b8-caef-42b7-aa69-a3bb0eedc34a,Tech Talks Fans,"[5, 6, 15]",5
02c572e0-525d-4b24-a9d5-0cb4328f28cc,Art Lounge Circle,[7],6
02c7560b-107d-4c12-b829-55bd3e3e7775,Gaming Hub Corner,"[8, 10]",7
02d08310-568e-4e72-ba4c-6fe4d2dcac2c,Study Zone Corner,"[8, 11]",8
02e1f944-6bec-43ce-9eca-f7056ce5e0b5,Finance World Corner,[12],9
03040575-e021-46ac-b705-f93a6345e9ac,Art Lounge Connect,"[4, 9, 11]",10
033a0753-efe2-4491-92ed-47a06c96844a,Tech Talks Corner,[6],11
03908f62-c7c6-416a-8680-92a658d60930,Gaming Hub Corner,"[3, 9, 11]",12
03a5942d-9519-4e0d-87a9-678cc1b4b2b3,Tech Talks Corner,[5],13
03a785af-411e-4a5b-bc5a-8629a67802e1,Gaming Hub Circle,"[4, 6, 10]",14
040cf0fe-3eb0-4b7c-a696-f99d8a67733f,Gaming Hub Corner,"[1, 2]",15
0486c875-0318-41c2-9307-118d2b415b72,Study Zone Corner,"[5, 12]",16
04adaf3c-b3b9-4847-a5be-59463623cb10,Tech Talks Circle,"[2, 8]",17
04b34179-80e0-445d-aef0-71d6758e7820,Art Lounge Corner,"[6, 12]",18
04eaa05a-fe5a-4346-9db1-e6311fcc298f,Art Lounge Fans,"[7, 11]",19
0537fea3-6310-4a8a-9592-9d1b3b53ac4f,Study Zone Connect,[13],20
054dd5fa-24be-4cda-91fa-88fa34a606a9,Finance World Connect,[4],21
05e67ae3-e1d3-4f94-9bbe-e97a49c995ba,Study Zone Circle,[4],22
064c027f-245d-46c4-b9e5-6623ba947706,Art Lounge Corner,[15],23
0668edad-c974-48ca-bfcb-be6c31b882a6,Study Zone Fans,"[3, 10, 13]",24
