user_id,user_name,interest,user_num
user_000079613cbf,Emma Wilson,"[3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15]",0
user_0000b1756c2b,Noah Taylor,"[3, 4, 5, 7, 9, 13]",1
user_000138baf092,John Wilson,"[3, 4, 6, 8, 9, 10, 11, 13, 14]",2
user_0001e82b5908,Noah Taylor,"[2, 3, 6, 8, 9, 11, 12, 13, 15]",3
user_0002454e2a97,Olivia Brown,"[1, 4, 7, 8, 10, 11, 12, 13, 15]",4
user_0003e4df5493,John Smith,"[2, 4, 5, 6, 8, 10, 11, 14, 15]",5
user_0004a61fa456,John Brown,"[1, 2, 6, 7, 8, 12]",6
user_0005a6a80bf1,John Wilson,[12],7
user_000bd274f859,Emma Taylor,"[2, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15]",8
user_00108df63aba,Noah Davis,"[2, 3, 4, 5, 7, 10, 11, 13, 15]",9
user_001216b7d380,Emma Taylor,"[1, 4, 6, 8, 9, 10, 12, 13]",10
user_0016007e07f5,Olivia Wilson,"[1, 6, 8, 10, 13, 14, 15]",11
user_0017f08e6fd6,Noah Brown,"[1, 3, 5, 6, 7, 10, 11, 13]",12
user_002374c0fb0b,Olivia Smith,"[1, 3, 4, 6, 8, 10, 12, 13, 15]",13
user_0026fcf5257e,John Taylor,"[1, 2, 4, 5, 10, 11, 12, 13]",14
user_0027ef1d4ce1,Liam Taylor,"[5, 7, 9, 11, 15]",15
user_002d8d856d34,Olivia Wilson,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13]",16
user_002ed96ec8f5,Emma Davis,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 15]",17
user_0034c5773797,Emma Wilson,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15]",18
user_0034f43ddcfb,Sophia Brown,"[4, 5, 6, 8, 10, 12, 15]",19
user_00351cb50dfc,Sophia Davis,"[1, 6, 7, 9, 13, 14, 15]",20
user_00381c61a564,Noah Smith,"[2, 3, 5, 7, 9, 10, 13, 15]",21
user_0038b6128979,Noah Taylor,"[1, 3, 5, 9, 11, 12, 13, 15]",22
user_003d8badf6e7,Sophia Davis,"[1, 3, 4, 5, 6, 7, 13, 15]",23
user_003da92a0254,Sophia Smith,"[3, 10, 15]",24
user_003e7b1ed786,Sophia Davis,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 13]",25
user_00460abc77de,Liam Brown,"[3, 7, 8, 9, 10, 13, 15]",26
user_004ae9cb42ef,Liam Wilson,"[6, 12]",27
user_004b32bb3326,Emma Brown,"[1, 4, 5, 6, 7, 8, 10, 14, 15]",28
user_005451c045c6,Olivia Brown,"[3, 4, 5, 7, 8, 10, 13, 14, 15]",29
user_0059b87dab6a,Sophia Wilson,"[1, 5, 8, 9, 14]",30
user_005ae361ccc3,Sophia Wilson,"[4, 5]",31
user_005c6e79afd2,Noah Wilson,"[5, 6, 9, 11, 14]",32
user_005ffc68fdca,Liam Brown,[10],33
user_006044fb35c3,Noah Taylor,"[1, 2, 3, 4, 5, 6, 7, 9, 11, 12]",34
user_0060bc9fbf90,John Davis,"[1, 7, 8, 10, 11, 12, 13, 14, 15]",35
user_0063f1c3bfc8,Olivia Taylor,"[1, 4, 8, 15]",36
user_0065ac15aace,Olivia Wilson,"[4, 5, 7, 8, 9, 11, 12, 13, 14]",37
